Position_X1,Position_Y1,Position_X2,Position_Y2,Position_X3,Position_Y3,Velocity_X1,Velocity_Y1,Velocity_X2,Velocity_Y2,Velocity_X3,Velocity_Y3,Momentum_X1,Momentum_Y1,Momentum_X2,Momentum_Y2,Momentum_X3,Momentum_Y3
99814205224.5371,10194064120.767883,-99999999437.64221,-10199999975.417772,6678017692.539215,149817025342.10022,-1123.4680099145335,29944.498002854463,0.0033999463932648027,-29999.999793276962,19276.777068670464,-1084.8418316869158,-6.709350955209594e+27,1.7882854207304687e+29,6.762493376203693e+27,-5.966999958882788e+34,1.4164575790059055e+27,-7.971417779235457e+25
99802970544.43794,10493509100.796429,-99999999403.64275,-10499999973.350542,6870785463.22592,149806176923.78336,-1156.2048417214546,29941.156715190762,0.003498974709759627,-29999.9997821414,19256.86740675875,-1114.706559979972,-6.904855314760527e+27,1.7880858790311924e+29,6.959460697711898e+27,-5.966999956667924e+34,1.4149946170486327e+27,-8.190863802732834e+25
99791408496.02072,10792920667.948336,-99999999368.653,-10799999971.171955,7063354137.293508,149795029858.18356,-1188.9151156326045,29937.719813720738,0.0035979206347697625,-29999.999770722734,19237.029504638827,-1144.463649628005,-7.100201070557914e+27,1.7878806272754025e+29,7.156264142557057e+27,-5.966999954396752e+34,1.413536928000861e+27,-8.40951889746658e+25
99779519344.8644,11092297866.085543,-99999999332.6738,-11099999968.879183,7255724432.339896,149783585221.6873,-1221.5980997399106,29934.18752583794,0.0036967819877535522,-29999.99975902162,19217.262901536946,-1174.113791799361,-7.295383851646746e+27,1.787669679043042e+29,7.352899373641815e+27,-5.9669999520694e+34,1.4120844780049348e+27,-8.627388142141705e+25
99767303363.86699,11391639741.343922,-99999999295.70598,-11399999966.469398,7447897061.355266,149771844083.7693,-1254.2530651708357,29930.560084904686,0.003795556597127275,-29999.99974703873,19197.567140910258,-1203.6576713161026,-7.490399305200231e+27,1.787453048270508e+29,7.549362071686149e+27,-5.966999949686004e+34,1.4106372335140858e+27,-8.844476568830721e+25
99754760833.21529,11690945342.192968,-99999999257.75041,-11699999963.939785,7639872732.764368,149759807507.05612,-1286.8792861637933,29926.837730209685,0.00389424230049344,-29999.999734774767,19177.94177039638,-1233.0959667296709,-7.685243096970174e+27,1.7872307492481224e+29,7.745647935681452e+27,-5.9669999472467005e+34,1.4091951612887262e+27,-9.060789163529622e+25
99741892040.35365,11990213719.495066,-99999999218.80798,-11999999961.287533,7831652150.468332,149747476547.38882,-1319.4760401427707,29923.02070692473,0.0039928369448666845,-29999.999722230434,19158.386341763693,-1262.4293503954414,-7.879910911732627e+27,1.787002796617545e+29,7.941752683339835e+27,-5.966999944751633e+34,1.4077582283927962e+27,-9.276330866705703e+25
99728697279.95222,12289443926.564314,-99999999178.87961,-12299999958.509838,8023236013.885969,149734852253.88486,-1352.0426077911475,29919.109266060386,0.004091338386897221,-29999.99970940646,19138.90041086236,-1291.6584885461903,-8.074398453728733e+27,1.7867692053691262e+29,8.137672051538571e+27,-5.966999942200945e+34,1.406326402190166e+27,-9.491106573837405e+25
99715176853.87431,12588635019.224918,-99999999137.96622,-12599999955.603903,8214625017.994593,149721935668.9994,-1384.5782731246902,29915.103664420767,0.0041897444930917875,-29999.999696303596,19119.483537576067,-1320.78404136449,-8.26870144710065e+27,1.7865299908392082e+29,8.333401796759565e+27,-5.966999939594784e+34,1.4048996503410894e+27,-9.705121135946272e+25
99701331071.14307,12887786055.869125,-99999999096.06877,-12899999952.566938,8405819853.370354,149708727828.58575,-1417.0823235637074,29911.004164557344,0.004288053140032055,-29999.999682922604,19100.135285774453,-1349.8066630540543,-8.462815636322461e+27,1.7862851687073647e+29,8.528937695523758e+27,-5.966999936933306e+34,1.4034779407987068e+27,-9.91837936012119e+25
99687160247.90742,13186896097.514698,-99999999053.18823,-13199999949.396164,8596821206.228098,149695229761.9552,-1449.554050004351,29906.811034721864,0.004386262214590439,-29999.999669264264,19080.85522326625,-1378.7270019100497,-8.656736786625985e+27,1.7860347549935897e+29,8.724275544820384e+27,-5.966999934216662e+34,1.402061241805604e+27,-1.0130886010035046e+26
99672664707.40738,13485964207.861917,-99999999009.3256,-13499999946.088806,8787629758.46076,149681442491.9361,-1481.9927468890467,29902.52454881837,0.0044843696141432755,-29999.999655329375,19061.642921753075,-1407.5457003883905,-8.850460684421387e+27,1.785778766055433e+29,8.919411162530975e+27,-5.966999931445012e+34,1.4006495218904158e+27,-1.0342645806453894e+26
99657844779.93849,13784989453.350101,-99999998964.48192,-13799999942.6421,8978246187.678291,149667367034.93222,-1514.39771227604,29898.144986354302,0.004582373246781315,-29999.999641118757,19042.497956783896,-1436.2633951740356,-9.043983137712511e+27,1.785517218585079e+29,9.114340387848034e+27,-5.966999928618521e+34,1.3992427498644805e+27,-1.0553663427738814e+26
99642700802.81573,14083970903.213644,-99999998918.65819,-14099999939.053288,9168671167.24613,149653004400.98047,-1546.7682479080424,29893.672632390793,0.0046802710315174915,-29999.99962663324,19023.419907710177,-1464.8807172483052,-9.23729997650683e+27,1.7852501296063783e+29,9.30905908168829e+27,-5.9669999257373505e+34,1.3978408948185436e+27,-1.0763943510340547e+26
99627233120.33665,14382907629.537552,-99999998871.85548,-14399999935.31962,9358905366.323233,149638355593.80798,-1579.1036592799637,29889.107777492056,0.0047780608984919265,-29999.999611873667,19004.408357641616,-1493.3982919552311,-9.430407053219944e+27,1.7849775164718256e+29,9.503563127100441e+27,-5.966999922801672e+34,1.3964439261195058e+27,-1.0973490649287038e+26
99611442083.74385,14681798707.312473,-99999998824.07487,-14699999931.438356,9548949449.899649,149623421610.88843,-1611.4032557057171,29884.450717673964,0.004875740789174121,-29999.999596840913,18985.462893402564,-1521.8167390669598,-9.623300243074544e+27,1.7846993968594893e+29,9.697848429667326e+27,-5.966999919811658e+34,1.3950518134072202e+27,-1.118230939866402e+26
99595328051.1868,14980643214.489212,-99999998775.31747,-14999999927.406765,9738804078.833673,149608203443.49777,-1643.6663503840837,29879.701754351827,0.004973308656562302,-29999.999581535856,18966.58310548904,-1550.1366728482242,-9.815975444493748e+27,1.784415788769891e+29,9.891910917902419e+27,-5.966999916767482e+34,1.3936645265913348e+27,-1.1390404272088752e+26
99578891387.68295,15279440232.03273,-99999998725.58438,-15299999923.222124,9928469909.888563,149592702076.7693,-1675.8922604636232,29874.86119428735,0.0050707624653798826,-29999.999565959395,18947.76858802636,-1578.3587021198969,-1.0008428579488758e+28,1.7841267105228406e+29,1.0085746543640585e+28,-5.966999913669324e+34,1.392282035848177e+27,-1.1597779743177001e+26
99562132465.07832,15578188843.975603,-99999998674.87675,-15599999918.881718,10117947595.768827,149576918489.74808,-1708.0803071066184,29869.92934953483,0.005168100192269002,-29999.999550112447,18929.018938727368,-1606.483430321644,-1.0200655594040726e+28,1.78383218075422e+29,1.0279351282423044e+28,-5.966999910517365e+34,1.390904311617687e+27,-1.180444024600344e+26
99545051662.00726,15876888137.470951,-99999998623.19576,-15899999914.382843,10307237785.156101,149560853655.44485,-1740.2298155520411,29864.90653738657,0.0052653198259810996,-29999.99953399594,18910.33375885126,-1634.5114555736932,-1.039265245847679e+28,1.7835322184127262e+29,1.0472721133876407e+28,-5.966999907311792e+34,1.3895313246003904e+27,-1.2010390175555498e+26
99527649363.85175,16175537202.844816,-99999998570.54256,-16199999909.722803,10496341122.744614,149544508540.88913,-1772.3401151775283,29859.793080317577,0.0053624193675645,-29999.99951761082,18891.712653162987,-1662.4433707377298,-1.05844151678402e+28,1.7832268427565658e+29,1.066585212208579e+28,-5.966999904052791e+34,1.3881630457544162e+27,-1.2215633888180839e+26
99509925962.69997,16474135133.647991,-99999998516.91837,-16499999904.89891,10685258249.276243,149527884107.18176,-1804.4105395603567,29854.58930592951,0.005459396830548971,-29999.999500958053,18873.155229893233,-1690.2797634769365,-1.077593974225445e+28,1.7829160733501102e+29,1.0858740295961901e+28,-5.966999900740557e+34,1.3867994462925546e+27,-1.2420175702028529e+26
99491881857.30437,16772681026.707287,-99999998462.3244,-16799999899.908491,10873989801.575176,149510981309.547,-1836.4404265374058,29849.295546893933,0.005556250241127218,-29999.99948403861,18854.661100698944,-1718.0212163151928,-1.0967222227281388e+28,1.7825999300605057e+29,1.1051381729602034e+28,-5.9669998973752795e+34,1.3854404976793583e+27,-1.2624019897484035e+26
